CrashFactId,DateTime,Address,Latitude,Longitude,Mode,VehicleDamage,Weather1,Weather2,Lighting1,Lighting2,RoadSurf1,RoadSurf2,RoadCond1,RoadCond2,Mov1,Mov2,CollType1,CollType2,ExtText
20221003011001,2022-10-03 14:02:00,"Pine St. near Powell St. , San Francisco , San Francisco, CA, 94108",37.7903711,-122.4088576,AUTONOMOUS,MINOR,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,STOPPED,UNKNOWN,HEAD-ON,OTHER,"A Zoox vehicle was in autonomy proceeding straight on Pine Street in San Francisco, CA when it encountered a double parked United States Postal Service van in lane (vehicle 2: model, year, VIN and insurance are unknown). The Zoox vehicle came to a complete stop while waiting for an opportunity to merge around vehicle 2. Vehicle 2 then rolled backwards into the Zoox vehicle, causing minor damage to front sensors and Vehicle 2 rear bumper. There were no injuries and first responders were not notified. Post incident review did not observe any brake lights or reverse lights on vehicle 2 while it was rolling backwards. 


"
20221007005001,2022-10-07 11:45:00,"Main Street (East of Navy Way), Alameda, , CA, 94501",37.7894343,-122.3026768,CONVENTIONAL,MINOR,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,PROCEEDING STRAIGHT,UNKNOWN,UNKNOWN,SIDE SWIPE,"A Ghost vehicle in conventional mode was traveling east on Main Street in Alameda, CA. Vehicle 2 was parked on Main Street facing east. Vehicle 2 abruptly exited the parking space and pulled into the lane in front of the Ghost vehicle. The Ghost driver engaged the brakes and moved towards the adjacent lane, preventing a front to rear collision. Vehicle 2 continued into the lane and made contact with the right side of the Ghost vehicle. The other driver stated that he was distracted by a conversation with his passenger while exiting the parking space and did not notice close oncoming traffic before pulling into the lane. First responders were not called to the scene. The California Highway Patrol did not report to the scene.  Autonomy was not engaged at any point during the drive cycle preceding the event."
20220922012001,2022-09-22 17:24:00,"SE Park Avenue, Palo Alto, Santa Clara, CA, 94306",37.4298596,-122.1504606,AUTONOMOUS,MINOR,CLEAR,UNKNOWN,DAYLIGHT,UNKNOWN,DRY,UNKNOWN,NO UNUSUAL CONDITIONS,UNKNOWN,PROCEEDING STRAIGHT,UNKNOWN,SIDE SWIPE,UNKNOWN,"An Argo AI Autonomous Vehicle (""Argo AV"") was impacted by a cyclist while traveling east on Park Ave and approaching Cambridge
Ave. The Argo AV was traveling in its lane adjacent to a cyclist who was traveling in a marked bike lane. As the Argo AV was passing the
cyclist (while maintaining more than 2 meters of lateral margin), the cyclist veered left into the Argo AV's lane. In response, the Argo
AV steered away from the cyclist, but the cyclist continued into the lane and the bicycle's left handlebar made contact with the Argo
AV's passenger side door handle. The Test Specialist brought the AV to a stop. The cyclist maintained balance, continued to cross
the lanes behind the stopped Argo AV, and left the scene after a brief conversation with the left seat Test Specialist, during which the
cyclist indicated that he was fine and apologized. The Argo AV sustained minor damage to its passenger side door handle."
20220917009001,2022-09-17 06:38:00," Potrero Avenue and 24th Street, San Francisco, San Francisco, CA, 94110",37.753001,-122.4064214,AUTONOMOUS,NONE,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,STOPPED,SLOWING/STOPPING,UNKNOWN,SIDE SWIPE,"On September 17, 2022 at 6:38 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Potrero Avenue and 24th Street.

While traveling northbound on Potrero Avenue, the Waymo AV changed lanes from the center lane to the right lane before slowing to a stop at a red light at 24th Street. While the Waymo AV was making the lane change, the vehicle immediately behind the Waymo AV in the right lane moved to the center lane and made contact with the right rear sensor of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The SUV sustained damage.
"
20220915009001,2022-09-15 09:42:00,"California Street at 19th Avenue, San Francisco, San Francisco, CA, 94121",37.7841916,-122.4786043,AUTONOMOUS,MINOR,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,STOPPED,SLOWING/STOPPING,UNKNOWN,REAR END,"On September 15, 2022 at 9:42 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on California Street at 19th Avenue.

The Waymo AV stopped at a stop sign facing east on California Street at 19th Avenue. A passenger car approaching from behind made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage."
20220914011001,2022-09-14 19:49:00,"W. Grant Line Rd and 580 W on-ramp, Altamont, Alameda County, CA, 94551",37.7581749,-121.5286698,CONVENTIONAL,MODERATE,CLEAR,CLEAR,DARK - NO STREET LIGHTS,DARK - NO STREET LIGHTS,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,SLOWING/STOPPING,RAN OFF ROAD,SIDE SWIPE,HEAD-ON,"A Zoox vehicle in manual mode was slowing with the right of way to begin its turn to enter the 580 West Freeway on-ramp from West Grant Line Road in Altamont, CA. Vehicle 2 exiting the 580 West Freeway off-ramp jumped the median and made contact with the front end of the Zoox vehicle, continuing off an embankment and ending in a rollover. The other driver refused to provide any information and was observed being treated by first responders. The California Highway Patrol provided an NCI number (9390) at the scene. Autonomy was not engaged at any point during the drive cycle proceeding the event. "
20220910009001,2022-09-10 12:57:00," 2121 Evans Avenue, San Francisco, San Francisco, CA, 94124",37.7488386,-122.397702,AUTONOMOUS,MINOR,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,STOPPED,MAKING LEFT TURN,UNKNOWN,SIDE SWIPE,"On September 10th, 2022 at 12:57 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a pickup truck in a parking lot at 2121 Evans Avenue.

The Waymo AV came to a stop in the parking lot while yielding to both pedestrians and an oncoming pickup truck. While the Waymo AV was stopped, the oncoming pickup truck passed the Waymo AV on the left hand side, making contact with the rear left sensor of the Waymo AV. The pickup truck then left the scene. At the time of the impact, the Waymo AV’s Level 4 ADS was stationary and engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage."
20220905004001,2022-09-05 05:14:00,"1727 Sacramento Street, San Francisco, San Francisco, CA, 94109",37.7911818,-122.4216406,AUTONOMOUS,MINOR,CLEAR,CLEAR,DARK - STREET LIGHTS,DARK - STREET LIGHTS,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,SLOWING/STOPPING,PROCEEDING STRAIGHT,REAR END,HEAD-ON,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling eastbound on Sacramento Street between Van Ness Avenue and Polk Street. The Cruise AV approached a semi-trailer truck that was stopped in the left lane of traffic. The Cruise AV stopped before maneuvering into the bus and taxi lane to pass the semi-trailer truck. As the Cruise AV was slowly maneuvering around the semi-trailer truck and merging back into the left lane of traffic, a Honda Accord traveling behind the Cruise AV attempted to pass the Cruise AV and made contact with the Cruise AV, damaging the rear passenger side bumper of the Cruise AV. The driver of the Honda Accord left the scene without exchanging information. There were no reported injuries.


"
20220904004001,2022-09-04 05:37:00,"1597 Howard St, San Francisco, San Francisco, CA, 94103",37.7717727,-122.41657,CONVENTIONAL,MINOR,CLEAR,CLEAR,DARK - STREET LIGHTS,DARK - STREET LIGHTS,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,STOPPED,PROCEEDING STRAIGHT,HEAD-ON,HEAD-ON,"A Cruise autonomous vehicle (“Cruise AV”), operating in manual mode, was traveling eastbound on 12th Street between Kissling Street and Howard Street. Following the intersection of Howard Street, the Cruise AV came to a stop as a Lexus CT200 was stopped in the wrong direction of traffic on 12th Street. The driver of the Lexus CT200 appeared to be asleep. The Cruise AV operator made attempts to wake up the driver by flashing the Cruise AV headlights and honking the horn. A nearby cyclist also made attempts to wake up the driver. Shortly thereafter, the driver of the Lexus CT200 woke up, accelerated forward and made contact with the Cruise AV, damaging the front passenger fender and wheel well of the Cruise AV. There were no reported injuries.   "
20220901011001,2022-09-01 11:30:00,"Treat Ave. & Alameda St., San Francisco, San Francisco, CA, 94103",37.7680941,-122.4124184,AUTONOMOUS,MINOR,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,MAKING RIGHT TURN,PROCEEDING STRAIGHT,REAR END,HEAD-ON,"A Zoox vehicle in autonomy was slowing for a right turn from Treat Ave. to Alameda St. in San Francisco, CA with its turn indicator and brake lights illuminated, when a following bicyclist struck the rear right corner of the Zoox vehicle. The Zoox vehicle camera bracket was damaged. Police were not called and no injuries were reported."
